date,locationID,InAsMeas,InAsVal,year,month,lat,lon,state
1/27/15,OREGONDEQ-10770-ORDEQ,Total,1.08,2015,1,42.51406806,-121.9169827,41
9/1/15,OREGONDEQ-10770-ORDEQ,Total,1.76,2015,9,42.51406806,-121.9169827,41
9/16/14,OREGONDEQ-10770-ORDEQ,Total,1.83,2014,9,42.51406806,-121.9169827,41
7/15/15,OREGONDEQ-10393-ORDEQ,Total,0.3,2015,7,43.07848703,-124.1380947,41
11/18/15,OREGONDEQ-10393-ORDEQ,Total,0.402,2015,11,43.07848703,-124.1380947,41
7/17/14,OREGONDEQ-10393-ORDEQ,Total,0.346,2014,7,43.07848703,-124.1380947,41
12/2/15,OREGONDEQ-10407-ORDEQ,Total,32.9,2015,12,44.05325971,-116.9815839,41
4/22/15,OREGONDEQ-10407-ORDEQ,Total,31.3,2015,4,44.05325971,-116.9815839,41
12/10/14,OREGONDEQ-10407-ORDEQ,Total,35.1,2014,12,44.05325971,-116.9815839,41
8/13/14,OREGONDEQ-10407-ORDEQ,Total,29.2,2014,8,44.05325971,-116.9815839,41
7/13/15,OREGONDEQ-10442-ORDEQ,Total,0.63,2015,7,43.24178425,-123.4121303,41
9/1/15,OREGONDEQ-10768-ORDEQ,Total,9.17,2015,9,42.21850014,-121.7889116,41
5/12/15,OREGONDEQ-10768-ORDEQ,Total,3.87,2015,5,42.21850014,-121.7889116,41
1/27/15,OREGONDEQ-10768-ORDEQ,Total,2.13,2015,1,42.21850014,-121.7889116,41
9/17/14,OREGONDEQ-10768-ORDEQ,Total,7.27,2014,9,42.21850014,-121.7889116,41
9/17/14,OREGONDEQ-10768-ORDEQ,Total,6.73,2014,9,42.21850014,-121.7889116,41
9/2/15,OREGONDEQ-11051-ORDEQ,Total,1.56,2015,9,42.42683011,-122.9573795,41
5/13/15,OREGONDEQ-11051-ORDEQ,Total,1.09,2015,5,42.42683011,-122.9573795,41
9/17/14,OREGONDEQ-11051-ORDEQ,Total,1.33,2014,9,42.42683011,-122.9573795,41
10/14/15,OREGONDEQ-10917-ORDEQ,Total,0.905,2015,10,45.23366042,-122.7501999,41
8/12/15,OREGONDEQ-11480-ORDEQ,Total,41.4,2015,8,43.89794521,-117.5073833,41
4/22/15,OREGONDEQ-11480-ORDEQ,Total,12.6,2015,4,43.89794521,-117.5073833,41
12/2/15,OREGONDEQ-11480-ORDEQ,Total,47.6,2015,12,43.89794521,-117.5073833,41
12/10/14,OREGONDEQ-11480-ORDEQ,Total,62.3,2014,12,43.89794521,-117.5073833,41
8/13/14,OREGONDEQ-11480-ORDEQ,Total,27.3,2014,8,43.89794521,-117.5073833,41
6/22/15,OREGONDEQ-13070-ORDEQ,Total,1.25,2015,6,45.29951681,-122.3603872,41
10/15/15,OREGONDEQ-13070-ORDEQ,Total,2.05,2015,10,45.29951681,-122.3603872,41
10/23/14,OREGONDEQ-13070-ORDEQ,Total,1.61,2014,10,45.29951681,-122.3603872,41
10/23/14,OREGONDEQ-13070-ORDEQ,Total,1.64,2014,10,45.29951681,-122.3603872,41
3/17/15,OREGONDEQ-10812-ORDEQ,Total,0.344,2015,3,46.1385377,-123.9242428,41
11/11/15,OREGONDEQ-10812-ORDEQ,Total,0.398,2015,11,46.1385377,-123.9242428,41
8/19/13,OREGONDEQ-10812-ORDEQ,Total,0.297,2013,8,46.1385377,-123.9242428,41
12/2/13,OREGONDEQ-10812-ORDEQ,Total,0.499,2013,12,46.1385377,-123.9242428,41
7/9/14,OREGONDEQ-10812-ORDEQ,Total,0.784,2014,7,46.1385377,-123.9242428,41
11/13/14,OREGONDEQ-10812-ORDEQ,Total,0.584,2014,11,46.1385377,-123.9242428,41
3/5/15,OREGONDEQ-37399-ORDEQ,Total,0.326,2015,3,43.70741772,-124.0930306,41
7/16/15,OREGONDEQ-37399-ORDEQ,Total,0.49,2015,7,43.70741772,-124.0930306,41
11/19/15,OREGONDEQ-37399-ORDEQ,Total,0.583,2015,11,43.70741772,-124.0930306,41
9/10/13,OREGONDEQ-37399-ORDEQ,Total,0.462,2013,9,43.70741772,-124.0930306,41
11/19/13,OREGONDEQ-37399-ORDEQ,Total,0.475,2013,11,43.70741772,-124.0930306,41
9/10/13,OREGONDEQ-37399-ORDEQ,Total,0.435,2013,9,43.70741772,-124.0930306,41
7/17/14,OREGONDEQ-37399-ORDEQ,Total,0.682,2014,7,43.70741772,-124.0930306,41
11/20/14,OREGONDEQ-37399-ORDEQ,Total,0.391,2014,11,43.70741772,-124.0930306,41
12/2/15,OREGONDEQ-11043-ORDEQ,Total,22.3,2015,12,43.9672501,-117.271947,41
4/22/15,OREGONDEQ-11043-ORDEQ,Total,20.3,2015,4,43.9672501,-117.271947,41
8/12/15,OREGONDEQ-11043-ORDEQ,Total,20.6,2015,8,43.9672501,-117.271947,41
8/13/14,OREGONDEQ-11043-ORDEQ,Total,19.2,2014,8,43.9672501,-117.271947,41
12/10/14,OREGONDEQ-11043-ORDEQ,Total,22.8,2014,12,43.9672501,-117.271947,41
1/27/15,OREGONDEQ-10511-ORDEQ,Total,0.955,2015,1,44.06035564,-121.3209114,41
7/13/15,OREGONDEQ-11522-ORDEQ,Total,0.53,2015,7,43.21745899,-123.3665207,41
4/22/15,OREGONDEQ-10729-ORDEQ,Total,23.4,2015,4,43.78411284,-117.0555042,41
8/12/15,OREGONDEQ-10729-ORDEQ,Total,31.3,2015,8,43.78411284,-117.0555042,41
12/10/14,OREGONDEQ-10729-ORDEQ,Total,32.8,2014,12,43.78411284,-117.0555042,41
8/13/14,OREGONDEQ-10729-ORDEQ,Total,30.8,2014,8,43.78411284,-117.0555042,41
10/22/15,OREGONDEQ-10459-ORDEQ,Total,0.824,2015,10,45.41476586,-122.9207017,41
10/13/15,OREGONDEQ-11140-ORDEQ,Total,0.483,2015,10,44.34277935,-123.2954319,41
9/20/15,OREGONDEQ-33929-ORDEQ,Total,0.586,2015,9,43.63408675,-119.0770899,41
9/22/14,OREGONDEQ-33929-ORDEQ,Total,0.727,2014,9,43.63408675,-119.0770899,41
9/22/14,OREGONDEQ-33929-ORDEQ,Total,0.737,2014,9,43.63408675,-119.0770899,41
7/13/15,OREGONDEQ-10996-ORDEQ,Total,0.71,2015,7,43.36663162,-123.460813,41
7/14/14,OREGONDEQ-10996-ORDEQ,Total,0.686,2014,7,43.36663162,-123.460813,41
8/19/13,OREGONDEQ-10521-ORDEQ,Total,0.067,2013,8,45.95191901,-123.9250156,41
8/19/13,OREGONDEQ-10521-ORDEQ,Total,0.08,2013,8,45.95191901,-123.9250156,41
12/2/13,OREGONDEQ-10521-ORDEQ,Total,0.099,2013,12,45.95191901,-123.9250156,41
8/19/13,OREGONDEQ-12962-ORDEQ,Total,0.057,2013,8,45.41624531,-123.605532,41
12/3/13,OREGONDEQ-12962-ORDEQ,Total,0.064,2013,12,45.41624531,-123.605532,41
11/19/13,OREGONDEQ-37397-ORDEQ,Total,0.946,2013,11,44.43497602,-124.0579066,41
9/9/13,OREGONDEQ-37397-ORDEQ,Total,1.27,2013,9,44.43497602,-124.0579066,41
11/19/13,OREGONDEQ-37397-ORDEQ,Total,0.892,2013,11,44.43497602,-124.0579066,41
11/18/13,OREGONDEQ-34115-ORDEQ,Total,0.069,2013,11,45.00833186,-123.9150553,41
9/10/13,OREGONDEQ-34115-ORDEQ,Total,0.081,2013,9,45.00833186,-123.9150553,41
10/29/13,OREGONDEQ-11571-ORDEQ,Total,0.207,2013,10,43.07141578,-124.1073306,41
8/5/13,OREGONDEQ-11571-ORDEQ,Total,0.381,2013,8,43.07141578,-124.1073306,41
10/28/13,OREGONDEQ-37415-ORDEQ,Total,0.888,2013,10,43.41489,-124.27958,41
8/6/13,OREGONDEQ-37415-ORDEQ,Total,1.07,2013,8,43.41489,-124.27958,41
8/6/13,OREGONDEQ-37415-ORDEQ,Total,1.08,2013,8,43.41489,-124.27958,41
11/19/13,OREGONDEQ-11263-ORDEQ,Total,0.117,2013,11,44.38633782,-123.8312376,41
9/9/13,OREGONDEQ-11263-ORDEQ,Total,0.154,2013,9,44.38633782,-123.8312376,41
11/18/13,OREGONDEQ-10990-ORDEQ,Total,0.12,2013,11,43.95521878,-123.6206644,41
9/9/13,OREGONDEQ-10990-ORDEQ,Total,0.217,2013,9,43.95521878,-123.6206644,41
8/19/13,OREGONDEQ-13431-ORDEQ,Total,0.207,2013,8,45.45620156,-123.859714,41
12/3/13,OREGONDEQ-13431-ORDEQ,Total,0.057,2013,12,45.45620156,-123.859714,41
11/18/13,OREGONDEQ-36803-ORDEQ,Total,0.183,2013,11,44.1836742,-123.5540956,41
9/9/13,OREGONDEQ-36803-ORDEQ,Total,0.475,2013,9,44.1836742,-123.5540956,41
12/2/13,OREGONDEQ-32980-ORDEQ,Total,0.264,2013,12,45.85138448,-123.5843414,41
8/20/13,OREGONDEQ-32980-ORDEQ,Total,0.277,2013,8,45.85138448,-123.5843414,41
8/20/13,OREGONDEQ-32980-ORDEQ,Total,0.282,2013,8,45.85138448,-123.5843414,41
12/2/13,OREGONDEQ-13308-ORDEQ,Total,0.226,2013,12,45.546944,-123.909167,41
8/20/13,OREGONDEQ-13308-ORDEQ,Total,0.909,2013,8,45.546944,-123.909167,41
10/28/13,OREGONDEQ-13569-ORDEQ,Total,0.06,2013,10,43.42449334,-124.0308525,41
8/5/13,OREGONDEQ-13569-ORDEQ,Total,0.16,2013,8,43.42449334,-124.0308525,41
10/28/13,OREGONDEQ-10414-ORDEQ,Total,0.25,2013,10,42.50349581,-124.2932249,41
8/5/13,OREGONDEQ-10414-ORDEQ,Total,0.391,2013,8,42.50349581,-124.2932249,41
12/3/13,OREGONDEQ-11005-ORDEQ,Total,<0.040,2013,12,45.27748251,-123.8261676,41
8/19/13,OREGONDEQ-11005-ORDEQ,Total,0.098,2013,8,45.27748251,-123.8261676,41
10/28/13,OREGONDEQ-28303-ORDEQ,Total,0.105,2013,10,42.73841478,-124.4010229,41
8/5/13,OREGONDEQ-28303-ORDEQ,Total,0.12,2013,8,42.73841478,-124.4010229,41
9/9/13,OREGONDEQ-29900-ORDEQ,Total,<0.040,2013,9,44.26695349,-124.0980637,41
11/19/13,OREGONDEQ-29900-ORDEQ,Total,0.054,2013,11,44.26695349,-124.0980637,41
8/5/13,OREGONDEQ-30670-ORDEQ,Total,0.2,2013,8,42.06352559,-124.2289491,41
10/28/13,OREGONDEQ-30670-ORDEQ,Total,0.164,2013,10,42.06352559,-124.2289491,41
8/19/13,OREGONDEQ-12187-ORDEQ,Total,0.139,2013,8,46.06976248,-123.7856582,41
12/2/13,OREGONDEQ-12187-ORDEQ,Total,0.136,2013,12,46.06976248,-123.7856582,41
9/9/13,OREGONDEQ-20434-ORDEQ,Total,0.116,2013,9,44.07074633,-123.7858127,41
11/18/13,OREGONDEQ-20434-ORDEQ,Total,0.07,2013,11,44.07074633,-123.7858127,41
11/18/13,OREGONDEQ-20434-ORDEQ,Total,0.078,2013,11,44.07074633,-123.7858127,41
10/29/13,OREGONDEQ-25754-ORDEQ,Total,0.235,2013,10,41.6347611,-70.5406481,25
