ActivityStartDate,MonitoringLocationIdentifier,ResultMeasureValue,ResultMeasure/MeasureUnitCode
2013-10-29,OREGONDEQ-13405-ORDEQ,Total,0.389
2013-08-05,OREGONDEQ-10414-ORDEQ,Total,0.391
2013-10-28,OREGONDEQ-30670-ORDEQ,Total,0.164
2013-10-28,OREGONDEQ-33476-ORDEQ,Total,0.737
2013-10-28,OREGONDEQ-36638-ORDEQ,Total,0.59
2013-08-05,OREGONDEQ-36638-ORDEQ,Total,0.639
2013-08-05,OREGONDEQ-13569-ORDEQ,Total,0.16
2013-11-18,OREGONDEQ-37396-ORDEQ,Total,0.044
2013-12-02,OREGONDEQ-10521-ORDEQ,Total,0.099
2013-08-06,OREGONDEQ-28803-ORDEQ,Total,0.227
2013-08-19,OREGONDEQ-22394-ORDEQ,Total,0.063
2013-11-18,OREGONDEQ-10391-ORDEQ,Total,0.066
2013-10-28,OREGONDEQ-34309-ORDEQ,Total,0.164
2013-09-09,OREGONDEQ-11476-ORDEQ,Total,0.52
2013-08-20,OREGONDEQ-18802-ORDEQ,Total,0.047
2013-11-18,OREGONDEQ-20434-ORDEQ,Total,0.078
2013-12-03,OREGONDEQ-13431-ORDEQ,Total,0.057
2013-10-28,OREGONDEQ-13587-ORDEQ,Total,1.03
2013-08-06,OREGONDEQ-13680-ORDEQ,Total,0.702
2013-11-18,OREGONDEQ-37400-ORDEQ,Total,0.186
2013-08-19,OREGONDEQ-11005-ORDEQ,Total,0.098
2013-08-05,OREGONDEQ-28303-ORDEQ,Total,0.12
2013-10-28,OREGONDEQ-36638-ORDEQ,Total,0.577
2013-08-19,OREGONDEQ-13553-ORDEQ,Total,0.55
2013-08-05,OREGONDEQ-34309-ORDEQ,Total,0.217
2013-11-18,OREGONDEQ-10582-ORDEQ,Total,0.112
2013-08-19,OREGONDEQ-11229-ORDEQ,Total,0.156
2013-12-02,OREGONDEQ-12187-ORDEQ,Total,0.136
2013-12-02,OREGONDEQ-12951-ORDEQ,Total,0.046
2013-10-28,OREGONDEQ-36750-ORDEQ,Total,0.127
2013-11-19,OREGONDEQ-37398-ORDEQ,Total,0.296
2013-10-28,OREGONDEQ-13574-ORDEQ,Total,0.24
2013-11-18,OREGONDEQ-33642-ORDEQ,Total,0.086
2013-08-19,OREGONDEQ-12951-ORDEQ,Total,<0.040
2013-09-10,OREGONDEQ-37399-ORDEQ,Total,0.435
2013-11-18,OREGONDEQ-11476-ORDEQ,Total,0.24
2013-09-09,OREGONDEQ-34425-ORDEQ,Total,0.13
2013-10-28,OREGONDEQ-37405-ORDEQ,Total,0.268
2012-10-08,OREGONDEQ-11478-ORDEQ,Total,0.58
2012-10-08,OREGONDEQ-31987-ORDEQ,Total,1.03
2012-10-22,OREGONDEQ-10697-ORDEQ,Total,0.15
2012-11-26,OREGONDEQ-34102-ORDEQ,Total,0.13
2012-10-23,OREGONDEQ-10508-ORDEQ,Total,0.74
2012-05-15,OREGONDEQ-13148-ORDEQ,Total,0.23
2012-10-23,OREGONDEQ-37106-ORDEQ,Total,0.67
2012-05-15,OREGONDEQ-11972-ORDEQ,Total,0.26
2014-12-10,OREGONDEQ-11480-ORDEQ,Total,62.3
2014-09-17,OREGONDEQ-10768-ORDEQ,Total,7.27
2014-08-19,OREGONDEQ-13137-ORDEQ,Total,0.04
2014-09-17,OREGONDEQ-11051-ORDEQ,Total,1.33
2014-09-24,OREGONDEQ-12266-ORDEQ,Total,1.07
2014-09-17,OREGONDEQ-10763-ORDEQ,Total,16.7
2014-09-22,OREGONDEQ-33929-ORDEQ,Total,0.727
2014-08-21,OREGONDEQ-22985-ORDEQ,Total,0.13
2014-07-14,OREGONDEQ-10451-ORDEQ,Total,1.11
2014-09-22,OREGONDEQ-33929-ORDEQ,Total,0.737
2014-08-13,OREGONDEQ-11480-ORDEQ,Total,27.3
2014-07-17,OREGONDEQ-37399-ORDEQ,Total,0.682
2014-09-15,OREGONDEQ-10506-ORDEQ,Total,1.26
2014-08-11,OREGONDEQ-11489-ORDEQ,Total,1.19
2014-09-17,OREGONDEQ-10764-ORDEQ,Total,5.38
2014-11-20,OREGONDEQ-37399-ORDEQ,Total,0.391
2014-12-09,OREGONDEQ-11490-ORDEQ,Total,2.71
2014-10-23,OREGONDEQ-13070-ORDEQ,Total,1.61
2014-09-15,OREGONDEQ-11477-ORDEQ,Total,0.596
2014-12-09,OREGONDEQ-10724-ORDEQ,Total,2.03
2014-09-16,OREGONDEQ-10759-ORDEQ,Total,5.66
2014-08-18,OREGONDEQ-37744-ORDEQ,Total,1.73
2014-12-10,OREGONDEQ-10728-ORDEQ,Total,43.3
2014-12-10,OREGONDEQ-10407-ORDEQ,Total,35.1
2014-10-21,OREGONDEQ-11275-ORDEQ,Total,0.692
2014-08-14,OREGONDEQ-11017-ORDEQ,Total,0.754
2014-12-03,OREGONDEQ-10708-ORDEQ,Total,1.86
2014-10-23,OREGONDEQ-13070-ORDEQ,Total,1.64
2014-08-14,OREGONDEQ-11386-ORDEQ,Total,0.511
2014-08-20,OREGONDEQ-23096-ORDEQ,Total,5.1
2014-12-03,OREGONDEQ-10411-ORDEQ,Total,1.15
2014-09-16,OREGONDEQ-10770-ORDEQ,Total,1.83
2014-09-23,OREGONDEQ-10730-ORDEQ,Total,10.1
2014-08-14,OREGONDEQ-11479-ORDEQ,Total,0.661
2014-08-20,OREGONDEQ-37742-ORDEQ,Total,0.556
2014-08-13,OREGONDEQ-10728-ORDEQ,Total,49.4
2014-08-13,OREGONDEQ-11043-ORDEQ,Total,19.2
2014-08-19,OREGONDEQ-12710-ORDEQ,Total,0.158
2014-12-10,OREGONDEQ-10729-ORDEQ,Total,32.8
